"common_name","site_name","colony_name","device_comb","age","breed_stage_v2","n_birds"
"Tristan Albatross","Gough","Gough Island","GLS","adult","non-breeding_Q2_Q3",25
"Tristan Albatross","Gough","Gough Island","GPSorPTT","juvenile","non-breeding_Q2_Q3",8
"Tristan Albatross","Gough","Gough Island","GLS","adult","non-breeding_Q4_Q1",26
"Tristan Albatross","Gough","Gough Island","GPSorPTT","juvenile","non-breeding_Q4_Q1",16
