"CommonName","IslandGroup","TaxonOrder","DemClass","value"
"Wandering Albatross","Kerguelen","2","gamma",639.36
"Westland Petrel","New Zealand","33","gamma",3144
"White-capped Albatross","Auckland Islands","9","gamma",71845.86
"White-chinned Petrel","South Georgia (Islas Georgias del Sur)","30","gamma",859742.8
"White-chinned Petrel","Prince Edward Islands","29","gamma",29520
"White-chinned Petrel","Antipodes Islands","28","gamma",56000
"Amsterdam Albatross","Amsterdam and St Paul","7","delta",68
"Antipodean Albatross","Antipodes Islands","5","delta",8244.96932515337
"Antipodean Albatross","Auckland Islands","6","delta",10071.223880597
"Atlantic Yellow-nosed Albatross","Gough","20","delta",5583.20610687023
"Black Petrel","New Zealand (Great Barrier Island)","32","delta",1213.5
"Black-browed Albatross","Falkland Islands (Islas Malvinas)","15","delta",216202.307496823
"Black-browed Albatross","South Georgia (Islas Georgias del Sur)","18","delta",104977.965870307
"Black-browed Albatross","Kerguelen","17","delta",1430.63569682152
"Black-browed Albatross","Islas Diego Ramirez","16","delta",29771.2833545108
"Buller's Albatross","The Snares","12","delta",4352
"Chatham Albatross","Chatham Island","11","delta",3080.50452781371
"Grey Petrel","Antipodes Islands","34","delta",24864.1975308642
"Grey Petrel","Gough","36","delta",7037.03703703703
"Grey Petrel","Prince Edward Islands","35","delta",2345.67901234568
"Grey-headed Albatross","South Georgia (Islas Georgias del Sur)","14","delta",163749.826086957
"Grey-headed Albatross","Prince Edward Islands","13","delta",12613.9767054908
"Indian Yellow-nosed Albatross","Amsterdam and St Paul","19","delta",23175.572519084
"Light-mantled Albatross","Prince Edward Islands","23","delta",887.005025125628
"Northern Giant Petrel","Prince Edward Islands","26","delta",554.794520547945
"Northern Giant Petrel","South Georgia (Islas Georgias del Sur)","27","delta",3188.21917808219
"Northern Royal Albatross","Chatham Island","8","delta",8365.57659208262
"Salvin's Albatross","The Snares","10","delta",392.305005820722
"Sooty Albatross","Prince Edward Islands","21","delta",3324
"Sooty Albatross","Tristan da Cunha","22","delta",11277.3333333333
"Southern Giant Petrel","Prince Edward Islands","24","delta",2071.23287671233
"Southern Giant Petrel","South Georgia (Islas Georgias del Sur)","25","delta",4068.49315068493
"Spectacled Petrel","Tristan da Cunha","31","delta",15949.3670886076
"Tristan Albatross","Gough","4","delta",2700
"Wandering Albatross","South Georgia (Islas Georgias del Sur)","3","delta",6464.82191780822
"Wandering Albatross","Crozet","1","delta",2785.69459172853
"Wandering Albatross","Kerguelen","2","delta",1817.22446094026
"Westland Petrel","New Zealand","33","delta",9391.30434782609
"White-capped Albatross","Auckland Islands","9","delta",91377.8823529412
"White-chinned Petrel","South Georgia (Islas Georgias del Sur)","30","delta",515433.333333333
"White-chinned Petrel","Prince Edward Islands","29","delta",24000
"White-chinned Petrel","Antipodes Islands","28","delta",26666.6666666667
"Amsterdam Albatross","Amsterdam and St Paul","7","zeta",32.8443896388391
"Antipodean Albatross","Antipodes Islands","5","zeta",2428.44365847454
"Antipodean Albatross","Auckland Islands","6","zeta",2634.8798326396
"Atlantic Yellow-nosed Albatross","Gough","20","zeta",3432.48629145597
"Black Petrel","New Zealand (Great Barrier Island)","32","zeta",1814.1716880922
"Black-browed Albatross","Falkland Islands (Islas Malvinas)","15","zeta",243199.38085098
"Black-browed Albatross","South Georgia (Islas Georgias del Sur)","18","zeta",24634.4369566147
"Black-browed Albatross","Kerguelen","17","zeta",2487.6170293101
"Black-browed Albatross","Islas Diego Ramirez","16","zeta",40119.4091047505
"Buller's Albatross","The Snares","12","zeta",6161.8661139594
"Chatham Albatross","Chatham Island","11","zeta",2546.62325684813
"Grey Petrel","Antipodes Islands","34","zeta",38195.4012903195
"Grey Petrel","Gough","36","zeta",10810.0192331093
"Grey Petrel","Prince Edward Islands","35","zeta",3574.50321453128
"Grey-headed Albatross","South Georgia (Islas Georgias del Sur)","14","zeta",17777.994661183
"Grey-headed Albatross","Prince Edward Islands","13","zeta",4110.80599684925
"Indian Yellow-nosed Albatross","Amsterdam and St Paul","19","zeta",3809.33416567641
"Light-mantled Albatross","Prince Edward Islands","23","zeta",233.615195621608
"Northern Giant Petrel","Prince Edward Islands","26","zeta",540.752012889869
"Northern Giant Petrel","South Georgia (Islas Georgias del Sur)","27","zeta",2578.8276304377
"Northern Royal Albatross","Chatham Island","8","zeta",2471.04524840832
"Salvin's Albatross","The Snares","10","zeta",551.885342511146
"Sooty Albatross","Prince Edward Islands","21","zeta",1454.43583557036
"Sooty Albatross","Tristan da Cunha","22","zeta",4247.52292778413
"Southern Giant Petrel","Prince Edward Islands","24","zeta",1624.0093074844
"Southern Giant Petrel","South Georgia (Islas Georgias del Sur)","25","zeta",2543.58307879396
"Spectacled Petrel","Tristan da Cunha","31","zeta",16940.1485523036
"Tristan Albatross","Gough","4","zeta",497.975889704478
"Wandering Albatross","South Georgia (Islas Georgias del Sur)","3","zeta",1619.0551038035
"Wandering Albatross","Crozet","1","zeta",1311.97527004206
"Wandering Albatross","Kerguelen","2","zeta",855.767379594122
"Westland Petrel","New Zealand","33","zeta",2444.96257935246
"White-capped Albatross","Auckland Islands","9","zeta",60722.7169608527
"White-chinned Petrel","South Georgia (Islas Georgias del Sur)","30","zeta",360067.33111091
"White-chinned Petrel","Prince Edward Islands","29","zeta",22488.6082174235
"White-chinned Petrel","Antipodes Islands","28","zeta",12185.3810480019
"Amsterdam Albatross","Amsterdam and St Paul","7","theta",148.427697197131
"Antipodean Albatross","Antipodes Islands","5","theta",15566.6484492522
"Antipodean Albatross","Auckland Islands","6","theta",18401.3772177266
"Atlantic Yellow-nosed Albatross","Gough","20","theta",14738.2330025967
"Black Petrel","New Zealand (Great Barrier Island)","32","theta",4964.90481511086
